CLAIM3YEARS,BUS_USE,CLERICAL,AD_BUILDINGS,RISK_RATED_AREA_B,SUM_INSURED_BUILDINGS,NCD_GRANTED_YEARS_B,AD_CONTENTS,RISK_RATED_AREA_C,SUM_INSURED_CONTENTS,NCD_GRANTED_YEARS_C,CONTENTS_COVER,BUILDINGS_COVER,SPEC_SUM_INSURED,SPEC_ITEM_PREM,UNSPEC_HRP_PREM,P1_POLICY_REFUSED,P1_SEX,APPR_ALARM,APPR_LOCKS,BEDROOMS,ROOF_CONSTRUCTION,WALL_CONSTRUCTION,FLOODING,LISTED,MAX_DAYS_UNOCC,NEIGH_WATCH,OWNERSHIP_TYPE,PAYING_GUESTS,PROP_TYPE,SAFE_INSTALLED,SEC_DISC_REQ,SUBSIDENCE,YEARBUILT,PAYMENT_METHOD,PAYMENT_FREQUENCY,LEGAL_ADDON_PRE_REN,LEGAL_ADDON_POST_REN,HOME_EM_ADDON_PRE_REN,HOME_EM_ADDON_POST_REN,GARDEN_ADDON_PRE_REN,GARDEN_ADDON_POST_REN,KEYCARE_ADDON_PRE_REN,KEYCARE_ADDON_POST_REN,HP1_ADDON_PRE_REN,HP1_ADDON_POST_REN,HP2_ADDON_PRE_REN,HP2_ADDON_POST_REN,HP3_ADDON_PRE_REN,HP3_ADDON_POST_REN,MTA_FLAG,MTA_FAP,MTA_APRP,LAST_ANN_PREM_GROSS,POL_STATUS,P1_AGE,PROP_AGE,DAYS_TO_BIND,DAYS_SINCE_MTA,HAS_ADJUSTED,HAS_MTA,IS_STANDARD_OCCUPANCY,HAS_PT_EMP,MAR_STATUS_Couple,MAR_STATUS_Solo,QUOTE_MONTH,QUOTE_WEEKDAY,EMP_STATUS_Carer,EMP_STATUS_Disabled,EMP_STATUS_Employed,EMP_STATUS_Houseperson,EMP_STATUS_None,EMP_STATUS_Other,EMP_STATUS_Student,EMP_STATUS_Unemployed,EMP_STATUS_Voluntary
0,0,0,1,0.0,1000000.0,7.0,1,0.0,50000.0,7.0,1,1,0.0,0.0,0.0,0,1,0,0,3.0,11.0,15.0,1,3.0,0.0,0,3.0,0.0,19.0,0,0,0,1869.0,1,1.0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0.0,0.0,347.32,1,58,138.0,17,-1.0,0,0,1,0,1,0,11,1,0,0,1,0,0,0,0,0,0
1,0,0,1,36.0,1000000.0,6.0,1,17.0,50000.0,5.0,1,1,2000.0,10.24,23.57,0,0,0,0,4.0,11.0,15.0,1,3.0,0.0,0,8.0,0.0,1.0,0,0,0,1870.0,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,525.42,1,56,137.0,28,-1.0,0,0,1,0,1,0,11,3,0,0,0,0,0,0,1,0,0
0,0,0,1,30.0,1000000.0,7.0,1,20.0,50000.0,7.0,1,1,2000.0,9.07,0.0,0,1,0,1,2.0,11.0,15.0,1,3.0,0.0,1,3.0,0.0,4.0,0,1,0,1960.0,1,1.0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,168.7,168.7,168.7,1,60,47.0,41,-1.0,0,0,1,0,0,1,11,3,0,0,1,0,0,0,0,0,0
0,0,0,1,0.0,1000000.0,7.0,1,0.0,50000.0,7.0,1,1,0.0,0.0,0.0,0,1,0,1,4.0,11.0,15.0,1,3.0,0.0,1,8.0,0.0,2.0,0,1,0,1990.0,1,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,332.83,332.83,332.83,1,51,17.0,12,-1.0,0,0,1,0,1,0,11,0,0,0,1,0,0,0,0,0,0
0,0,0,1,1.0,1000000.0,8.0,1,1.0,50000.0,7.0,1,1,0.0,0.0,0.0,0,0,0,1,2.0,11.0,15.0,1,3.0,0.0,0,8.0,0.0,10.0,0,1,0,1980.0,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,157.99,157.99,157.99,1,60,27.0,16,-1.0,0,0,1,0,1,0,12,0,0,0,1,0,0,0,0,0,0
0,1,1,0,10.0,0.0,0.0,1,31.0,50000.0,7.0,0,1,0.0,0.0,0.0,0,0,0,1,4.0,11.0,15.0,1,3.0,0.0,0,8.0,0.0,19.0,0,1,0,1900.0,1,1.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,99.71,0,51,108.0,42,-1.0,0,0,1,0,1,0,12,1,0,0,1,0,0,0,0,0,0
0,0,0,1,5.0,1000000.0,7.0,1,1.0,50000.0,7.0,1,1,0.0,0.0,0.0,0,0,0,1,3.0,11.0,15.0,1,3.0,0.0,0,8.0,0.0,1.0,0,1,0,1960.0,0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,208.91,0,54,47.0,0,-1.0,0,0,1,0,1,0,12,4,0,0,0,0,0,0,1,0,0
1,0,0,1,0.0,1000000.0,3.0,1,0.0,50000.0,0.0,1,1,1300.0,40.98,0.0,0,1,0,0,3.0,11.0,15.0,1,3.0,0.0,0,3.0,0.0,10.0,0,0,0,1920.0,1,1.0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,521.93,0.0,521.93,0,45,88.0,19,-1.0,0,0,1,0,1,0,12,3,0,0,1,0,0,0,0,0,0
0,0,0,1,8.0,1000000.0,7.0,1,11.0,50000.0,7.0,1,1,200.0,4.81,16.35,0,0,1,1,4.0,11.0,15.0,0,3.0,0.0,1,8.0,0.0,2.0,0,1,0,1980.0,0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,335.01,335.01,335.01,1,51,27.0,21,-1.0,0,0,1,0,1,0,11,3,0,0,1,0,0,0,0,0,0
0,0,0,0,7.0,0.0,0.0,1,10.0,50000.0,7.0,0,1,0.0,0.0,0.0,0,0,0,1,2.0,11.0,15.0,1,3.0,0.0,0,12.0,0.0,16.0,0,1,0,1920.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,84.93,0.0,84.93,1,52,87.0,33,-1.0,0,0,1,0,1,0,10,3,0,0,0,0,1,0,0,0,0
0,0,0,0,10.0,0.0,0.0,1,5.0,50000.0,7.0,0,1,0.0,0.0,16.07,0,0,0,1,3.0,11.0,15.0,1,3.0,0.0,1,3.0,0.0,10.0,0,1,0,1920.0,1,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,103.78,0,62,87.0,44,-1.0,0,0,1,0,1,0,10,3,0,0,1,0,0,0,0,0,0
0,0,0,1,14.0,1000000.0,7.0,1,14.0,50000.0,7.0,1,1,0.0,0.0,0.0,0,1,0,1,3.0,11.0,15.0,1,3.0,0.0,0,3.0,0.0,18.0,0,1,0,1900.0,1,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,246.64,246.64,246.64,0,52,107.0,16,132.0,1,1,1,0,0,1,10,0,0,0,1,0,0,0,0,0,0
0,0,0,1,7.0,1000000.0,7.0,1,3.0,50000.0,7.0,1,1,10000.0,20.25,23.21,0,1,0,1,2.0,11.0,15.0,1,3.0,0.0,0,3.0,0.0,1.0,0,1,0,1960.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,240.86,1,57,47.0,21,-1.0,0,0,1,0,0,1,10,0,0,0,1,0,0,0,0,0,0
0,0,0,0,13.0,0.0,0.0,1,7.0,50000.0,7.0,0,1,2500.0,16.46,0.0,0,0,0,1,2.0,11.0,15.0,1,3.0,0.0,0,3.0,0.0,32.0,0,1,0,1920.0,1,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,66.81,1,53,87.0,60,-1.0,0,0,1,0,0,1,10,3,0,0,0,0,0,0,1,0,0
1,0,0,1,0.0,1000000.0,1.0,1,0.0,50000.0,1.0,1,1,0.0,0.0,0.0,0,0,0,1,5.0,11.0,15.0,1,3.0,0.0,0,3.0,0.0,2.0,0,1,0,1920.0,1,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,479.65,0,64,87.0,15,-1.0,0,0,1,0,1,0,10,1,0,0,0,0,0,0,1,0,0
0,0,0,1,13.0,1000000.0,7.0,1,16.0,50000.0,7.0,1,1,0.0,0.0,0.0,0,1,0,1,2.0,11.0,15.0,1,3.0,0.0,0,3.0,0.0,1.0,0,1,0,1900.0,0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,288.46,0.0,288.46,0,62,107.0,11,-1.0,0,0,1,0,1,0,11,4,0,0,1,0,0,0,0,0,0
0,0,0,1,0.0,1000000.0,7.0,0,6.0,0.0,0.0,1,0,0.0,0.0,0.0,0,0,0,1,4.0,11.0,15.0,1,3.0,0.0,0,3.0,0.0,2.0,0,1,0,1980.0,0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,146.72,146.72,146.72,1,62,27.0,16,-1.0,0,0,1,0,1,0,11,3,0,0,1,0,0,0,0,0,0
0,0,0,1,19.0,1000000.0,7.0,1,11.0,75000.0,7.0,1,1,0.0,0.0,0.0,0,0,0,1,3.0,11.0,15.0,1,3.0,0.0,0,3.0,0.0,10.0,0,1,0,1960.0,1,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,150.13,0,60,47.0,20,-1.0,0,0,1,0,1,0,10,3,0,0,1,0,0,0,0,0,0
